Human,Assistant
who are you?,I am the robot receptionist of electronic and telecommunication engineering department.
what is ENTC?,ENTC stands for electronic and Telecommunication Engineering Department.
what does ENTC stand for?,ENTC stands for electronic and telecommunication engineering department.
what is the best faculty in the University of Moratuwa,the engineering faculty is the best faculty in the whole university.
what is the best department in the University of Moratuwa,the electronic and telecommunication engineering department is the best department in the whole university.
what is the best department in the engineering faculty,the electronic and telecommunication engineering department is the best department in the engineering faculty.
where is the analog lab?,There is the staircase. The analog electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side.Then turn left and go towards the end of the passage. Then you can see the analog electronic laboratory on your lefthand side.
can you give me the directions to the analog laboratory?,There is the staircase. The analog electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side.Then turn left and go towards the end of the passage. Then you can see the analog electronic laboratory on your lefthand side.
directions to analog electoric lab?,There is the staircase. The analog electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side.Then turn left and go towards the end of the passage. Then you can see the analog electronic laboratory on your lefthand side.
guide me to analog electoric lab?,There is the staircase. The analog electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side.Then turn left and go towards the end of the passage. Then you can see the analog electronic laboratory on your lefthand side.
how to go to the analog lab?,There is the staircase. The analog electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side.Then turn left and go towards the end of the passage. Then you can see the analog electronic laboratory on your lefthand side.
where is the digital lab?,There is the staircase. The digital electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the digital electronic laboratory in front of you.
can you give me the directions to the digital laboratory?,There is the staircase. The digital electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the digital electronic laboratory in front of you.
directions to digital electoric lab?,There is the staircase. The digital electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the digital electronic laboratory in front of you.
guide me to digital electoric lab?,There is the staircase. The digital electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the digital electronic laboratory in front of you.
how to go to the digital lab?,There is the staircase. The digital electronic laboratory is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the digital electronic laboratory in front of you.
where is the electronic workshop?,There is the staircase. The electronic workshop is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the electronic workshop on your lefthand side.
can you give me the directions to the workshop?,There is the staircase. The electronic workshop is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the electronic workshop on your lefthand side.
directions to workshop?,There is the staircase. The electronic workshop is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the electronic workshop on your lefthand side.
guide me to workshop?,There is the staircase. The electronic workshop is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the electronic workshop on your lefthand side.
how to go to the workshop?,There is the staircase. The electronic workshop is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the electronic workshop on your lefthand side.
where is the soldering room?,There is the staircase. The soldering room is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go about two meters through the passage. Then you can see the soldering room on your lefthand side.
can you give me the directions to the soldering room?,There is the staircase. The soldering room is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go about two meters through the passage. Then you can see the soldering room on your lefthand side.
directions to soldering room?,There is the staircase. The soldering room is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go about two meters through the passage. Then you can see the soldering room on your lefthand side.
guide me to soldering room?,There is the staircase. The soldering room is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go about two meters through the passage. Then you can see the soldering room on your lefthand side.
how to go to the soldering room?,There is the staircase. The soldering room is on the second floor. Once you reach to the second floor go through the passage on your right hand side. Then turn right and go about two meters through the passage. Then you can see the soldering room on your lefthand side.
where is the department's office?,There is the staircase. The department office is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and towards the end of the passage. Then you can see the department office on your lefthand side.
can you give me the directions to the department office?,There is the staircase. The department office is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and towards the end of the passage. Then you can see the department office on your lefthand side.
directions to department office?,There is the staircase. The department office is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and towards the end of the passage. Then you can see the department office on your lefthand side.
guide me to department office?,There is the staircase. The department office is on the first floor. Once you reach to the first floor; go through the passage on your right hand side. Then turn right and towards the end of the passage. Then you can see the department office on your lefthand side.
how to go to the department office?,There is the staircase. The department office is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and towards the end of the passage. Then you can see the department office on your lefthand side.
where is the conference room?,There is the staircase. The conference room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage. Then you can see the conference room infornt of you.
can you give me the directions to the conference room?,There is the staircase. The conference room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage. Then you can see the conference room infornt of you.
directions to conference room?,There is the staircase. The conference room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage. Then you can see the conference room infornt of you.
guide me to conference room?,There is the staircase. The conference room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage. Then you can see the conference room infornt of you.
how to go to the conference room?,There is the staircase. The conference room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage. Then you can see the conference room infornt of you.
where is the staff common room?,There is the staircase. The staff common room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage turn left and go on. Then you can see the staff common room.
can you give me the directions to the staff common room?,There is the staircase. The staff common room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage turn left and go on. Then you can see the staff common room.
directions to staff common room?,There is the staircase. The staff common room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage turn left and go on. Then you can see the staff common room.
guide me to staff common room?,There is the staircase. The staff common room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage turn left and go on. Then you can see the staff common room.
how to go to the staff common room?,There is the staircase. The staff common room is on the first floor.  Once you reach to the first floor go through the passage on your right hand side. Then turn right go some distance turn left and go toward the end of the passage turn left and go on. Then you can see the staff common room.
where is the seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
can you give me the directions to the seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
directions to seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
guide me to seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
how to go to the seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
where is the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
can you give me the directions to the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
directions to postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
guide me to postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
how to go to the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
where is the radio room?,There is the staircase. The radio room is on the roof top of the building.
can you give me the directions to the radio room?,There is the staircase. The radio room is on the roof top of the building.
directions to radio room?,There is the staircase. The radio room is on the roof top of the building.
guide me to radio room?,There is the staircase. The radio room is on the roof top of the building.
how to go to the radio room?,There is the staircase. The radio room is on the roof top of the building.
where is the entc one?,There is the ENTC1 hall.
can you give me the directions to the entc 1 hall?,There is the ENTC1 hall.
directions to entc one?,There is the ENTC1 hall.
guide me to entc 1?,There is the ENTC1 hall.
how to go to the entc main hall?,There is the ENTC1 hall.
where is the communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
can you give me the directions to the communication labpratory?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
directions to communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
guide me to communication laboratory?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
how to go to the communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
where is the department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
can you give me the directions to the office of the head of department?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
directions to department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
guide me to the office of the head of department?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
how to go to the department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
where is the computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
can you give me the directions to the computer lab?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
directions to computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
guide me to computer lab?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
how to go to the computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
